cell_id,municipio,time_bucket,dia_tipo,hour,centroid_lat,centroid_lon,n_requests,n_drivers_available,supply_demand_ratio,demand_density,cancel_rate
1-0-0,1,entre_semana_00,entre_semana,0,16.611349,-93.100651,1,2,2.0,11.11,0.0
1-0-0,1,entre_semana_01,entre_semana,1,16.611349,-93.100651,1,4,4.0,11.11,0.0
1-0-0,1,entre_semana_02,entre_semana,2,16.611349,-93.100651,1,7,7.0,11.11,0.0
1-0-0,1,entre_semana_04,entre_semana,4,16.611349,-93.100651,1,4,4.0,11.11,0.0
1-0-0,1,entre_semana_07,entre_semana,7,16.611349,-93.100651,3,3,1.0,33.33,0.0
1-0-0,1,entre_semana_08,entre_semana,8,16.611349,-93.100651,2,5,2.5,22.22,0.0
1-0-0,1,entre_semana_09,entre_semana,9,16.611349,-93.100651,2,3,1.5,22.22,0.0
1-0-0,1,entre_semana_10,entre_semana,10,16.611349,-93.100651,1,4,4.0,11.11,0.0
1-0-0,1,entre_semana_12,entre_semana,12,16.611349,-93.100651,1,8,8.0,11.11,0.0
1-0-0,1,entre_semana_13,entre_semana,13,16.611349,-93.100651,1,5,5.0,11.11,0.0
1-0-0,1,entre_semana_14,entre_semana,14,16.611349,-93.100651,2,4,2.0,22.22,0.0
1-0-0,1,entre_semana_16,entre_semana,16,16.611349,-93.100651,1,6,6.0,11.11,1.0
1-0-0,1,entre_semana_17,entre_semana,17,16.611349,-93.100651,2,3,1.5,22.22,0.0
1-0-0,1,entre_semana_23,entre_semana,23,16.611349,-93.100651,1,3,3.0,11.11,0.0
1-0-0,1,fin_de_semana_07,fin_de_semana,7,16.611349,-93.100651,1,1,1.0,11.11,0.0
1-0-0,1,fin_de_semana_08,fin_de_semana,8,16.611349,-93.100651,1,4,4.0,11.11,1.0
1-0-0,1,fin_de_semana_09,fin_de_semana,9,16.611349,-93.100651,1,4,4.0,11.11,0.0
1-0-0,1,fin_de_semana_13,fin_de_semana,13,16.611349,-93.100651,2,5,2.5,22.22,1.0
1-0-0,1,fin_de_semana_17,fin_de_semana,17,16.611349,-93.100651,1,7,7.0,11.11,1.0
1-0-0,1,fin_de_semana_18,fin_de_semana,18,16.611349,-93.100651,1,5,5.0,11.11,0.0
1-0-0,1,fin_de_semana_20,fin_de_semana,20,16.611349,-93.100651,1,1,1.0,11.11,0.0
1-0-0,1,fin_de_semana_22,fin_de_semana,22,16.611349,-93.100651,1,2,2.0,11.11,0.0
1-0-1,1,entre_semana_00,entre_semana,0,16.611349,-93.097953,1,7,7.0,11.11,0.0
1-0-1,1,entre_semana_01,entre_semana,1,16.611349,-93.097953,1,2,2.0,11.11,0.0
1-0-1,1,entre_semana_02,entre_semana,2,16.611349,-93.097953,1,2,2.0,11.11,0.0
1-0-1,1,entre_semana_07,entre_semana,7,16.611349,-93.097953,1,7,7.0,11.11,0.0
1-0-1,1,entre_semana_08,entre_semana,8,16.611349,-93.097953,1,5,5.0,11.11,0.0
1-0-1,1,entre_semana_09,entre_semana,9,16.611349,-93.097953,2,6,3.0,22.22,0.5
1-0-1,1,entre_semana_10,entre_semana,10,16.611349,-93.097953,1,6,6.0,11.11,0.0
1-0-1,1,entre_semana_11,entre_semana,11,16.611349,-93.097953,2,4,2.0,22.22,0.0
1-0-1,1,entre_semana_12,entre_semana,12,16.611349,-93.097953,1,3,3.0,11.11,0.0
1-0-1,1,entre_semana_13,entre_semana,13,16.611349,-93.097953,3,3,1.0,33.33,0.0
1-0-1,1,entre_semana_16,entre_semana,16,16.611349,-93.097953,1,1,1.0,11.11,0.0
1-0-1,1,entre_semana_17,entre_semana,17,16.611349,-93.097953,2,3,1.5,22.22,0.5
1-0-1,1,entre_semana_18,entre_semana,18,16.611349,-93.097953,5,7,1.4,55.56,0.4
1-0-1,1,entre_semana_20,entre_semana,20,16.611349,-93.097953,1,4,4.0,11.11,0.0
1-0-1,1,fin_de_semana_06,fin_de_semana,6,16.611349,-93.097953,1,5,5.0,11.11,0.0
1-0-1,1,fin_de_semana_07,fin_de_semana,7,16.611349,-93.097953,2,3,1.5,22.22,0.5
1-0-1,1,fin_de_semana_08,fin_de_semana,8,16.611349,-93.097953,1,6,6.0,11.11,0.0
1-0-1,1,fin_de_semana_09,fin_de_semana,9,16.611349,-93.097953,1,5,5.0,11.11,1.0
1-0-1,1,fin_de_semana_14,fin_de_semana,14,16.611349,-93.097953,1,3,3.0,11.11,0.0
1-0-1,1,fin_de_semana_17,fin_de_semana,17,16.611349,-93.097953,1,0,0.0,11.11,0.0
